Sorting algorithm;Array size;Time (ms);Heap used (MB)
radixSort;10;0.01; 5
radixSort;100;0.04; 5
radixSort;1000;1.27; 5
radixSort;10000;0.47; 5
radixSort;100000;4.61; 17
radixSort;1000000;57.68; 95
heapSort;10;0.01; 110
heapSort;100;0.11; 110
heapSort;1000;0.45; 111
heapSort;10000;2.55; 112
heapSort;100000;13.73; 93
heapSort;1000000;146.97; 42
shellSort;10;0; 54
shellSort;100;0.04; 54
shellSort;1000;0.62; 54
shellSort;10000;0.9; 55
shellSort;100000;10.45; 60
shellSort;1000000;120.55; 64
sort;10;0; 54
sort;100;0.01; 54
sort;1000;0.13; 54
sort;10000;1.29; 56
sort;100000;13.33; 62
sort;1000000;141.49; 76
mergeSort;10;0.01; 98
mergeSort;100;0.03; 98
mergeSort;1000;1.25; 31
mergeSort;10000;1.36; 10
mergeSort;100000;8.33; 23
mergeSort;1000000;92.22; 49
quickSort;10;0.03; 61
quickSort;100;0.06; 62
quickSort;1000;0.62; 63
quickSort;10000;0.73; 65
quickSort;100000;36.57; 70
lsdRadixSort;10;0.01; 78
lsdRadixSort;100;0.04; 78
lsdRadixSort;1000;0.47; 79
lsdRadixSort;10000;1.97; 81
lsdRadixSort;100000;9.64; 34
lsdRadixSort;1000000;73; 44
msdradixsort;10;0.03; 69
msdradixsort;100;0.22; 69
msdradixsort;1000;0.34; 69
msdradixsort;10000;0.52; 70
msdradixsort;100000;1.25; 75
msdradixsort;1000000;11.37; 70
fastQuickSort;10;0; 54
fastQuickSort;100;0.07; 54
fastQuickSort;1000;0.54; 57
fastQuickSort;10000;1.56; 58
fastQuickSort;100000;113.18; 60
iterativeQuickSort;10;0; 80
iterativeQuickSort;100;0.04; 80
iterativeQuickSort;1000;0.34; 80
iterativeQuickSort;10000;1.32; 82
iterativeQuickSort;100000;55.89; 84
iterativeQuickSort;1000000;5349.18; 36
insertionSort;10;0; 50
insertionSort;100;0.08; 50
insertionSort;1000;0.57; 50
insertionSort;10000;16.12; 51
insertionSort;100000;1561.79; 57
insertionSort;1000000;160103.6; 25
